agent_idx,inducing_idx,x0,x1,y
0,0,9.628989893711164,5.809940950705684,3.000604366750279
0,1,1.5485737190231097,2.8673897364103706,1.0641697969826187
0,2,0.8291543984805818,7.9182291510192915,4.197919540011583
0,3,9.25488483328829,0.2809536388315834,4.618254410897842
0,4,6.676194515056572,6.117585832604705,6.754247419201001
0,5,6.391465117686784,2.7445679801383047,4.669764735301704
0,6,7.299676499370735,8.350695834192745,5.158069847120036
0,7,2.7650497420806257,5.483394516611944,2.9234635311065373
0,8,4.248100555611251,1.7318500021243532,2.4757412625588495
0,9,1.1853142494316198,0.4716182904514925,2.7540121107143403
0,10,4.9227991131398,9.43598413695326,4.263292200279297
0,11,8.361473229766794,2.1772203872282914,4.3298634655237205
0,12,5.076882235354522,3.2987060617040895,5.128036701177789
0,13,8.806696620555194,4.094734025385395,4.339028677490373
0,14,9.485761284280226,8.093434839383436,5.258710467275526
0,15,0.5999547382455619,5.2214553301105555,1.122571129281136
0,16,4.803551435818655,5.142529362646804,5.6082805331820795
0,17,4.166835205467776,7.1785250146396,4.531975075527729
0,18,2.6655752246268043,8.217721280728133,4.6263404270639255
0,19,0.4310558379305949,8.807909117355944,4.21556376749063
0,20,3.6226096452186463,3.7458302725524506,3.020722521859737
0,21,6.787950135760508,5.07616626017886,6.223869592357348
0,22,5.264114575660734,1.3126003046524168,2.560544930138822
0,23,9.646173110679527,2.2334619647340865,5.532214941849603
0,24,6.76949646618165,0.49072023594068703,2.193834346785028
1,0,9.416589323444722,9.627099280885894,7.664388025962245
1,1,1.1891953082065738,7.131944623138863,3.273712520354724
1,2,3.654792027301056,9.576963885034836,4.305467533772035
1,3,6.092580616475847,8.840236632697442,4.298412170011875
1,4,2.1775084800151414,2.065565063513295,1.5287692752079869
1,5,8.718069772630134,7.414379215860718,4.441371544981293
1,6,3.856602336569823,5.311253046548599,4.533304777139233
1,7,1.179115197843339,4.170069110964376,0.20198482598837803
1,8,2.191499066972417,0.42731407035149704,3.0318743006350077
1,9,0.5459881612362194,9.606511582189995,4.511006807234432
1,10,4.220637456707155,2.7667633408604964,3.8511475381784415
1,11,1.5966724602320177,5.5581929284883,1.337428231352035
1,12,7.251995187023491,9.467236130641584,3.9616111378403818
1,13,8.034755783528889,0.5072427019270478,3.4300124803763357
1,14,7.33014554352204,2.4046680862431775,4.210799904590118
1,15,6.300681860321295,7.724042112679443,5.42852097071775
1,16,0.5374061114246009,1.2575379431825588,1.6870452794421222
1,17,7.756428946168729,4.388441930983291,5.546482640674208
1,18,5.44011996386774,4.226709894407091,5.935714602215612
1,19,5.3106593665612625,5.90762915115284,6.078214749733845
1,20,8.227084512346556,9.559170498282874,5.1028100823809215
1,21,4.241210709064895,8.99620014027716,4.3108729954593334
1,22,6.9837429559732405,3.5124089763545596,5.446986774640158
1,23,2.481284873671758,1.2348571109946271,2.366975351719633
1,24,3.3770570762525045,7.384079531707901,4.0305878933231964
