x1,x2,x3,x4,x5,x6,x7,x8,y
0.44225585,1.7264126,0.68023659,-0.37498241,-0.06024195,1.3528153,-1.2874123,0.10642723,1.8633027
1.0773302,1.5259135,0.66691854,0.66626721,-0.44221937,-0.8040041,-1.5476736,-0.19414997,1.2460307
0.24107198,0.17955359,-0.25766524,-1.3641277,0.29938962,1.1862351,0.0283613,-0.070829601,1.0495137
0.31352468,1.2221309,-1.5106916,1.6163392,-0.37313773,-0.72403217,0.2260678,-0.12583328,-1.3058175
1.3738186,1.0178251,1.6624103,-0.8432734,0.71788695,-0.32001553,1.4453276,1.0442848,0.86443569
0.15228231,0.97372045,1.037751,1.6780891,0.65987252,0.31625961,0.81730278,1.282475,-0.57204357
0.832094,0.55042755,0.41802499,1.2339894,-0.34242769,1.6898422,0.70950877,1.4793331,-1.3425797
0.34787993,1.5417838,0.60064641,-0.026311908,-0.61575836,1.6770726,-1.1355953,1.4434865,0.83274026
0.29013031,1.7113178,-1.3716432,1.5898082,0.60911086,0.55332604,-0.43804083,0.1835856,0.77703326
0.60539151,0.63697538,1.2892462,-1.6642106,-0.18051402,1.1645812,-0.77126349,1.2447097,0.1760342
0.056872633,0.38566961,-0.26107413,0.57763048,0.73922061,-1.4164219,1.0958432,-0.58690145,0.97647992
0.42173351,1.0496641,0.91270581,0.60672022,-1.3800711,1.1918229,-1.5079973,-0.17813989,0.25193899
0.26576506,1.6487844,1.6133421,-0.46331087,-1.0305743,-0.80635954,0.33451215,-0.20482011,1.1353421
1.4596644,0.98437798,0.81404273,-1.5093385,-0.54695784,-1.5414424,-1.2208153,-0.66384418,-1.0874551
0.081962323,0.24950481,0.97334465,-1.3848473,-0.56198912,1.4992694,0.46994095,-0.023541696,0.43073894
1.2256947,1.0756134,0.4411557,-0.3378317,-0.40168674,0.35569508,0.67839837,-0.17717111,0.86885581
1.3419882,0.023244273,0.89893642,-0.14407888,-0.54897772,-0.97882388,0.26534962,1.4772687,-0.29156514
0.96537623,0.99324306,-1.5393792,1.165526,1.6619195,-0.22429351,-1.416894,0.50672275,-0.9450102
0.93709526,1.3802393,1.3459613,1.5031095,1.3095481,1.4120037,0.79072224,-0.43773824,-0.93005779
0.67042272,1.1229955,-1.2216954,-0.47227429,1.626916,0.25332801,1.4153021,1.5828765,0.65526312
1.712441,0.76826335,0.63031588,-1.520649,-0.31611591,1.6282844,-1.4699812,-1.3808076,0.6064006
1.3191921,0.2785846,1.4143514,-1.5318068,0.16682064,0.5413483,0.99720637,-0.22194026,0.41445093
0.8463712,0.43740442,1.404837,-0.87141016,-0.93744524,1.1920043,-0.99037299,1.3343394,-0.019425633
0.97468304,1.6732594,-1.6439008,0.41989115,-0.82019502,1.2650452,-0.88332087,0.72035894,-1.8543104
1.3126967,0.51564727,0.56847848,1.6663957,-1.650284,0.2903203,0.78271277,0.70271791,-0.88867866
0.024666938,0.45494808,-0.52628112,1.3595297,0.84754105,-1.1270293,-0.71831963,0.17970093,0.44790934
0.41241072,0.56279738,1.5660697,1.2178516,-0.89768315,-1.1481057,-1.4211865,0.75852321,1.3447533
0.036785826,0.11267508,-1.4599994,-1.5651324,-0.39552017,1.5466014,1.4804072,0.75895404,0.26957353
1.5113415,1.087396,1.3701432,1.2503687,-1.5894989,-1.244503,-1.6172557,-1.4064911,1.3283958
1.714899,0.51272324,-0.16793126,1.006222,0.83270562,1.33421,-0.50376382,0.82804121,1.0227667
0.35961562,0.12059487,1.6122412,1.1107933,0.10339116,-1.2998447,-0.69853465,-0.025806867,0.63833618
0.32661867,1.212332,-1.4138085,-0.96669603,-1.6906187,1.4246454,0.88920316,0.26794306,1.4262568
1.1996277,0.66204128,-0.45643774,-0.77230207,1.2263886,-1.450445,-1.4946438,1.2937716,-3.2065132
0.69308745,0.22040405,0.87040184,-1.1361035,1.0687716,-0.091834536,0.45565706,-1.1498995,0.3409201
0.4140135,0.56345231,0.1260255,0.70973317,-1.3195715,0.17539245,1.0331597,0.11757518,-1.6906381
0.54108412,0.77897702,0.057964654,-0.87234245,0.36299095,-0.96424864,-1.2113936,-0.57783974,-0.83333036
1.6851851,1.4843314,1.2264711,-1.5919447,-0.41634609,0.90377089,0.12530516,-1.1720838,1.341453
0.29668037,1.2989911,-1.3810634,1.5778371,-0.86096273,1.2442321,0.70892347,-0.70877961,1.7719057
