x1,x2,x3,x4,x5,x6,x7,x8,y
0.325123,-0.54966752,0.62910973,1.5866486,1.5385531,-0.44053212,1.1206069,-0.024080894,-0.86693088
0.91665191,-0.99831711,-0.19988958,0.3155239,0.701315,0.69972129,1.4892918,-1.7278647,-1.917299
0.55798601,-0.48854099,1.2978257,0.89773793,0.86250203,-1.3933119,-1.0968387,1.4575727,-0.94357985
1.3286388,-0.57032988,-0.78206709,0.20145856,1.2908847,0.66289597,0.20098821,0.29878839,1.2396743
0.025626108,-0.085558939,-1.0789733,1.0514996,1.1583187,-1.0437345,-1.1775153,0.15681528,-0.479818
0.82244522,-0.41057666,0.83194266,1.6809981,-1.5338114,-0.50294447,1.3135181,-0.2456872,-0.10667497
0.54968084,-1.1667327,-1.4085596,-0.099548342,1.5149102,0.52465601,-0.20395754,-1.4183668,0.56842738
0.61282069,-0.23033132,1.4856025,0.85847746,-1.5967119,-1.4696707,-1.2799159,-1.2774507,0.86455777
0.55994075,-0.54996931,0.99321072,0.22636574,-0.6988455,1.3285484,-1.3927303,-1.4456846,-0.79294153
0.72711441,-0.64273298,0.92179037,1.0090131,1.6794171,-1.4257791,0.77733997,-1.1583768,-0.6925283
1.1343012,-0.1823879,0.034845706,1.0101843,-0.24463811,1.65534,1.561166,-0.11829783,0.30459268
0.17580408,-0.96372557,-0.81418753,0.13877752,-0.56405193,0.33035844,1.6690229,1.1243208,-0.35778812
0.58086072,-0.78053233,-0.50035451,-1.2874082,0.28155202,-1.0139719,-1.0437073,1.5535212,-3.0198512
1.5916373,-0.84380701,-1.2483762,-1.3190799,-1.0813462,0.43445956,1.2135218,1.1657283,0.19290163
0.49210304,-1.0624945,-0.25917553,0.16712094,0.39789195,-0.71542036,-0.65975285,-1.1965485,1.1579573
0.90569392,-0.080292119,-0.96685486,1.491887,-0.47818792,-0.6954989,0.89291185,1.4919646,-0.33993189
0.94196047,-1.5956711,-0.61279504,1.3640019,1.3439485,-1.4038205,1.0740006,0.76757993,1.8471136
1.4521151,-0.47275366,0.039691974,-0.442118,-1.388292,-1.0690464,-0.52815562,1.6376118,-0.4477398
0.89004404,-0.95952039,0.81627511,-1.6833215,0.20111377,-1.0413522,-0.87170937,-1.1217438,-1.4672032
